gene	name	location	somatic	germline	tumour.type.somatic	tumour.type.germline	syndrome	tissue.type	inheritance	cancer.role	impact	chr	Mut.class	nseqs	seqlength	dN	dS	dNdS	lhM1	lhM2	lrtM1M2	padjM1M2	lhM8a	lhM8	lrtM8aM8	padjM8aM8	PSS_M2	PSS_M8	PS
ABI1	abl-interactor 1	10:26748570-26860863	yes	no	AML			L	Dom	"TSG, fusion"	T	10	somatic	29	509	0.3759	3.6748	0.10228	-8474.01264	-8474.01264	1	1	-8468.930623	-8468.930623	1	1	0	0	No
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	9:130835447-130885683	yes	no	"CML, ALL, T-ALL"			L	Dom	"oncogene, fusion"	"T, Mis"	9	somatic	26	1151	0.6649	7.137	0.09316	-27351.779529	-27351.779665	1	1	-27136.662379	-27136.662379	1	1	0	2	No
ABL2	"c-abl oncogene 2, non-receptor tyrosine kinase"	1:179107718-179143044	yes	no	AML			L	Dom	"oncogene, fusion"	T	1	somatic	26	1183	0.4432	4.2506	0.10427	-23276.374292	-23271.919789	0.00283767682782521	0.024314995563914	-23165.567234	-23163.675219	0.0517438937207352	0.266024488893662	1	4	No
ACSL3	acyl-CoA synthetase long-chain family member 3	2:222908773-222941654	yes	no	prostate			E	Dom	fusion	T	2	somatic	28	721	0.3951	5.114	0.07727	-14371.93339	-14370.65355	0.109620770034359	0.748504320390854	-14297.305273	-14295.423285	0.0523679141152705	0.266102075213642	1	4	No
ACVR1	"activin A receptor, type I"	2:157737531-157799493	yes	no	DIPG			O	Dom	oncogene	Mis	2	somatic	25	510	0.1887	4.5766	0.04123	-8556.060014	-8556.06021	1	1	-8499.87864	-8499.87864	1	1	0	0	No
ACVR2A	activin A receptor type 2A	2:147845153-147927274	yes	no	"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus"			E	Rec	TSG	"Mis, N, F"	2	somatic	27	514	0.1181	2.9536	0.03999	-6924.811642	-6924.811643	1	1	-6884.764204	-6884.763759	0.976200345736748	1	0	0	No
AFF4	"AF4/FMR2 family, member 4"	5:132881059-132937189	yes	no	ALL			L	Dom	"oncogene, fusion"	T	5	somatic	29	1165	0.3353	3.3188	0.10102	-20279.544145	-20279.544152	1	1	-20208.95973	-20208.959732	1	1	0	1	No
AKT2	v-akt murine thymoma viral oncogene homolog 2	19:40233872-40265267	yes	no	"ovarian, pancreatic"			E	Dom	oncogene	A	19	somatic	28	482	0.2969	14.3082	0.02075	-9152.585126	-9152.585133	1	1	-9095.669165	-9095.669166	1	1	0	0	No
ALK	anaplastic lymphoma kinase (Ki-1)	2:29193224-29920659	yes	yes	"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour"	neuroblastoma	familial neuroblastoma	L,E,M	Dom	"oncogene, fusion"	"T, Mis, A"	2	som&germ	20	1618	0.6865	5.4689	0.12553	-31375.316055	-31375.316886	1	1	-31180.308694	-31180.308694	1	1	0	0	No
APC	adenomatous polyposis of the colon gene	5:112754891-112844126	yes	yes	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"adenomatous polyposis coli; Turcot syndrome"	E,M,O	Rec	TSG	"D, Mis, N, F, S"	5	som&germ	30	2845	0.4828	5.4223	0.08904	-59923.788404	-59923.788414	1	1	-59543.519824	-59543.520531	1	1	0	3	No
